UnitId,GeographicArea,Gacc,WildlandRole,UnitType,Department,Agency,Parent,Country,State,Code,Name,OrgCode,Address,Phone,Email,Started,Modified
USAKCAFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CAFX,Clear Air Force Station Fire Department,,   Alaska ,907-585-6321,,20081105,20081105
USAKCAN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,CAN,Calista Regional Native Corporation,,Calista Corporation 301 Calista Ct Anchorage Alaska 99518,9072725060,,20140917,20140917
USAKCEKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CEKX,Central Emergency Services,,   Alaska ,,,20050218,20050218
USAKCFFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CFFX,City Fairbanks Fire Department,,   Alaska ,,,20050218,20051122
USAKCFMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CFMX,Central Mat-Su Fire Department,,   Alaska ,,,20050218,20051122
USAKCFQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USAF,,US,AK,CFQ,Clear Air Force Station,,   Alaska ,,,20050422,20050422
USAKCGF,AK,USAKACC,Incident Host Geographic,US Federal,USDA,FS,,US,AK,CGF,Chugach National Forest,,"161 East 1st Avenue, Door 8  Anchorage Alaska 99501",9077439500,,,20180925
USAKCGFC,AK,USAKACC,Dispatch/Coordination Center,US Federal,USDA,FS,,US,AK,CGFC,Chugach National Forest Dispatch,,   Alaska ,,,,20030331
USAKCGFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CGFX,Chena Goldstream Fire & Rescue,,   Alaska ,,,20050222,20050222
USAKCGKX,AK,USAKACC,Incident Host Geographic,US Federal,DHS,FEMA,,US,AK,CGKX,US Coast Guard Base Kodiak,,5th Street  Kodiak Station Alaska 99619,9074875170,,20050218,20180925
USAKCGMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CGMX,Chigiak,,   Alaska ,,,20050218,20050218
USAKCHCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CHCX,Chistochina,,   Alaska ,,,20050218,20050218
USAKCHN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,CHN,Chugach Regional Native Corporation,,Chugach Alaska Corporation 3800 Centerpoint Dr Ste 1200 Anchorage Alaska 99503,9075638866,,20140917,20140917
USAKCIN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,CIN,Cook Inlet Regional Native Corporation,,"Cook Inlet Region, Incorporated 2525 C St Ste 500 Anchorage Alaska 99503",9072748638,,20140917,20140917
USAKCLKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CLKX,Cooper Landing Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKCLMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CLMX,Caswell Lake Fire Department,,   Alaska ,,,20101102,20101126
USAKCNCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CNCX,Chitina Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKCNFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CNFX,City Nenana Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKCOCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,COCX,Cordova Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKCRCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CRCX,Crystal Creek Volunteer Fire Department,,   Alaska ,,,20101102,20101126
USAKCRS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,CRS,Valdez-Copper River Area Forestry,,   Alaska ,,,,20030331
USAKCRSC,AK,USAKACC,Dispatch/Coordination Center,US State,AK,DVF,,US,AK,CRSC,Valdez-Copper River Area Forestry Dispatch,,   Alaska ,,,,20030331
USAKCVFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CVFX,Cantwell Volunteer Fire Department,,   Alaska ,,,20050222,20051122
USAKCYD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,CYD,Central Yukon Field Office,,   Alaska ,,,20090521,20090601
USAKDAS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,DAS,Delta Area Forestry,,   Alaska ,,,,20030331
USAKDASC,AK,USAKACC,Dispatch/Coordination Center,US State,AK,DVF,,US,AK,DASC,Delta Area Forestry Dispatch,,   Alaska ,,,,20030331
USAKDBFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,DBFX,Denali Borough,,   Alaska ,,,20050222,20050222
USAKDEDX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,DEDX,Deltana Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKDEP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,DEP,Denali National Park & Preserve,,PO Box 9  Denali Park Alaska 99755,9076832294,,,20160302
USAKDJDX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,DJDX,City Delta Junction Fire Department,,   Alaska ,,,20050218,20051122
USAKDNS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,DNS,AK Department of Natural Resources,,   Alaska ,,,20050218,20050218
USAKDPS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,DPS,AK Department of Public Safety,,   Alaska ,,,20050218,20050218
USAKDTS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,DTS,AK Department of Transportation & Public Facilities,,   Alaska ,,,20081105,20081105
USAKDYN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,DYN,Doyon Regional Native Corporation,,"Doyon, Limited 1 Doyon Place Ste 300 Fairbanks Alaska 99701",9074592000,,20140917,20140917
USAKEAKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,EAKX,Eastland Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKEAPG,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,EAPG,Eastern Alaska Park Group,,4175 Geist Road  Fairbanks Alaska 99709-3420,9074575752,,,20160302
USAKEID,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,EID,Eastern Interior Field Office,,   Alaska ,,,20090521,20090521
USAKEIQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USAF,,US,AK,EIQ,Eielson Air Force Base,,   Alaska ,,,20050422,20050422
USAKELQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USAF,,US,AK,ELQ,Joint Base Elmendorf-Richardson,,6326 Arctic Warrior Drive  JBER Alaska 99506-3221,9075521110,,20050422,20180925
USAKEVFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,EVFX,Ester Volunteer Fire Department,,   Alaska ,,,20050222,20051122
USAKFAS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,FAS,Fairbanks Area Forestry,,   Alaska ,,,,20050615
USAKFASC,AK,USAKACC,Dispatch/Coordination Center,US State,AK,DVF,,US,AK,FASC,Fairbanks Area Forestry Dispatch,,   Alaska ,,,,20090507
USAKFBD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,FBD,Fairbanks District Office,,   Alaska ,,,,20081105
USAKFGQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USA,,US,AK,FGQ,Space & Missle Defense Fort Greely,,   Alaska ,,,20050422,20080718
USAKFGS,AK,USAKACC,Incident Host Geographic,US State,,,,US,AK,FGS,Alaska Department of Fish & Game,,333 Raspberry Road  Anchorage Alaska 99518-1599,9072672354,,20050218,20180925
USAKFNFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,FNFX,Fairbanks Northstar Borough,,   Alaska ,,,20050222,20050222
USAKFWQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USA,,US,AK,FWQ,Fort Wainwright,,.   Alaska ,.,,20050422,20130727
USAKGACX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GACX,Gakona Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKGAD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,GAD,Alaska Fire Service - Galena Zone,,   Alaska ,,,,20031021
USAKGADC,AK,USAKACC,Dispatch/Coordination Center,US Federal,DOI,BLM,,US,AK,GADC,Alaska Fire Service - Galena Zone Dispatch,,PO Box 35005  Fort Wainwright Alaska 99703,9076561222,,,20180925
USAKGAP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,GAP,Gates of the Arctic National Park & Preserve,,4175 Geist Road  Fairbanks Alaska 99709-3420,9074575752,,,20160302
USAKGBP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,GBP,Glacier Bay National Park & Preserve,,PO Box 140  Gustavus Alaska 99826,9076972230,,,20160302
USAKGDMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GDMX,Girdwood Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKGLD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,GLD,Glenallen Field Office,,   Alaska ,,,,20030331
USAKGPMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GPMX,Greater Palmer Fire Department,,   Alaska ,,,20050218,20051122
USAKGRCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GRCX,GlennRich Fire & Rescue,,   Alaska ,,,20050218,20050218
USAKGVCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GVCX,Gulkana Village Volunteer Fire Department,,   Alaska ,,,20101102,20101126
USAKHAHX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HAHX,Haines Volunteer Fire Department,,   Alaska ,907-766-2115,,20081105,20081105
USAKHNS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,HNS,Haines Area Forestry,,   Alaska ,,,,20030331
USAKHOKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HOKX,Homer Volunteer Fire Department,,   Alaska ,,,20050218,20051122
USAKHOSX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HOSX,Hoonah Fire Department,,   Alaska ,,,20101102,20101126
USAKHSKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HSKX,Hope-Sunrise Volunteer Fire Department,,   Alaska ,,,20050218,20051123
USAKHSMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HSMX,Houston Volunteer Fire Department,,   Alaska ,,,20050218,20051123
USAKHVFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HVFX,Haystack Volunteer Fire Department,,   Alaska ,,,20050222,20051123
USAKIHP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,IHP,Inupiat Heritage Center,,"PO Box 69, Barrow AK 99723   Alaska ",907-852-4594,,20140116,20140116
USAKINR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,INR,Innoko National Wildlife Refuge,,   Alaska ,,,,20030331
USAKIZR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,IZR,Izembek National Wildlife Refuge,,   Alaska ,,,,20030331
USAKKAP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,KAP,Katmai National Park & Preserve,,PO Box 7  King Salmon Alaska 99613,9072463305,,,20160302
USAKKAR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,KAR,Kanuti National Wildlife Refuge,,   Alaska ,,,,20030331
USAKKCSX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,KCSX,Ketchikan Fire Department,,   Alaska ,,,20101102,20101126
USAKKDR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,KDR,Kodiak National Wildlife Refuge,,   Alaska ,,,,20030331
USAKKEKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,KEKX,Kachemak Emergency Services,,   Alaska ,,,20050218,20050218
USAKKEP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,KEP,Kenai Fjords National Park,,PO Box 1727  Seward Alaska 99664,9074220500,,,20160302
USAKKFKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,KFKX,Kenai Fire Department,,   Alaska ,,,20050218,20051123
USAKKGN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,KGN,Koniag Regional Native Corporation,,"Koniag, Incorporated 194 Alimaq Drive Kodiak Alaska 99615",9074862530,,20140917,20140917
USAKKIDC,AK,USAKACC,Dispatch/Coordination Center,Interagency,,,,US,AK,KIDC,Kenai Interagency Dispatch Center,,42499 Sterling Highway  Soldotna Alaska 99669,9072604200,,20100305,20180925
USAKKKS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,KKS,Kenai-Kodiak Area Forestry,,   Alaska ,,,,20030331
USAKKLCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,KLCX,Kenny Lake Volunteer Fire Department,,   Alaska ,,,20050218,20051123
USAKKLP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,KLP,Klondike Gold Rush National Historic Park,,PO Box 517  Skagway Alaska 99840,9079839200,,,20160302
USAKKNR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,KNR,Kenai National Wildlife Refuge,,   Alaska ,,,,20030331
USAKKOKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,KOKX,City Kodiak Fire Department,,   Alaska ,,,20050218,20051123
USAKKOP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,KOP,Kobuk Valley National Park,,PO Box 1029  Kotzebue Alaska 99752,9074423890,,,20160302
USAKKPKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,KPKX,Kenai Peninsula Borough,,   Alaska ,,,20050218,20050218
USAKKRP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,KRP,Cape Krusenstern National Monument,,PO Box 1029  Kotzebue Alaska 99752,9074423890,,,20160302
USAKKTS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,KTS,Southern Southeast Area,,   Alaska ,,,20050218,20050218
USAKKUR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,KUR,Koyukuk National Wildlife Refuge,,   Alaska ,,,,20030331
USAKKVHX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,KVHX,Klehini Valley Volunteer Fire Department,,   Alaska ,907-767-5665,,20081105,20081105
USAKLCP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,LCP,Lake Clark National Park & Preserve,,240 W 5th Ave Ste 236 Anchorage Alaska 99501,9076443626,,,20160302
USAKLCSC,AK,USAKACC,Dispatch/Coordination Center,US State,AK,DVF,,US,AK,LCSC,State Logistics Center,,   Alaska ,(907) 451-2664,,20050218,20050218
USAKLFMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,LFMX,Lakes Fire Department,,   Alaska ,,,20101102,20101126
USAKLLCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,LLCX,Lake Louise Volunteer Fire Department,,   Alaska ,,,20050218,20051123
USAKMBMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,MBMX,Matanuska Susitna Borough,,   Alaska ,,,20050218,20050218
USAKMCCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,MCCX,McCarthy Volunteer Fire Department,,   Alaska ,,,20050218,20051123
USAKMEA,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BIA,,US,AK,MEA,Metlakatla Agency,,   Alaska ,,,,20050422
USAKMID,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,MID,Alaska Fire Service - Military Zone,,   Alaska ,,,,20030331
USAKMPKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,MPKX,Moose Pass Volunteer Fire Department,,   Alaska ,,,20050218,20051123
USAKMSS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,MSS,Mat-Su Area Forestry,,   Alaska ,,,,20030331
USAKMSSC,AK,USAKACC,Dispatch/Coordination Center,US State,,,,US,AK,MSSC,Mat-Su/Southwest Area Forestry Dispatch,,101 Airport Road  Palmer Alaska 99645,9077616240,,20160225,20160225
USAKMVFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,MVFX,McKinley Volunteer Fire Department,,   Alaska ,,,20050222,20051123
USAKMVS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,MVS,AK Department of Military and Veterans Affairs,,   Alaska ,,,20050218,20050422
USAKNAN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,NAN,NANA Regional Native Corporation,,"NANA Regional Corporation, Incorporated PO Box 49 Kotzebue Alaska 99752",9074423301,,20140917,20140917
USAKNFKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,NFKX,Nikiski Fire Department,,   Alaska ,,,20050218,20051123
USAKNIKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,NIKX,Ninilchik Emergency Services,,   Alaska ,,,20050218,20050218
USAKNOP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,NOP,Noatak Preserve,,PO Box 1029  Kotzebue Alaska 99752,9074423890,,,20160302
USAKNOR,AK,USAKACC,Incident Host Geographic,US Federal,DOI,FWS,,US,AK,NOR,Nowitna National Wildlife Refuge,,   Alaska ,,,,20030331
USAKNPFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,NPFX,City North Pole Volunteer Fire Department,,   Alaska ,,,20050222,20060625
